Row ID,Order ID,Customer ID,Ship Mode,Order Date,Ship Date,period,Season,year,month,day_of_week,Coordinates,State,City,Segment,Sub-Category,Product ID,Product Name,Discount,Sales,Quantity,unit_value,Profit
4,US-2015-108966,SO-20335,Standard Class,2015-10-11,2015-10-18,811 days,Fall,2015,10,6,"(27.9944, -81.7603)",Florida,Fort Lauderdale,Consumer,Tables,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,0.45,957.5775,5,191.5155,-383.031
11,CA-2014-115812,BH-11710,Standard Class,2014-06-09,2014-06-14,1300 days,Summer,2014,6,0,"(36.7783, -119.4179)",California,Los Angeles,Consumer,Tables,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,0.2,1706.184,9,189.576,85.3092
25,CA-2015-106320,EB-13870,Standard Class,2015-09-25,2015-09-30,827 days,Fall,2015,9,4,"(39.32, -111.0937)",Utah,Orem,Consumer,Tables,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,0.0,1044.63,3,348.21000000000004,240.2649
28,US-2015-150630,TB-21520,Standard Class,2015-09-17,2015-09-21,835 days,Fall,2015,9,3,"(41.2033, -77.1945)",Pennsylvania,Philadelphia,Consumer,Bookcases,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",0.5,3083.43,7,440.48999999999995,-1665.0522
30,US-2015-150630,TB-21520,Standard Class,2015-09-17,2015-09-21,835 days,Fall,2015,9,3,"(41.2033, -77.1945)",Florida,Philadelphia,Consumer,Furnishings,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",0.2,124.2,3,41.4,15.525
39,CA-2015-117415,SN-20710,Standard Class,2015-12-27,2015-12-31,734 days,Winter,2015,12,6,"(31.9686, -99.9018)",Texas,Houston,Home Office,Bookcases,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",0.32,532.3992,3,177.4664,-46.9764
40,CA-2015-117415,SN-20710,Standard Class,2015-12-27,2015-12-31,734 days,Winter,2015,12,6,"(31.9686, -99.9018)",Texas,Houston,Home Office,Chairs,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",0.3,1713.4081525608883,23,74.4960066330821,-15.147
52,CA-2015-115742,DP-13000,Standard Class,2015-04-18,2015-04-22,987 days,Spring,2015,4,5,"(40.2672, -86.1349)",Ohio,New Albany,Consumer,Furnishings,FUR-FU-10001706,Longer-Life Soft White Bulbs,0.0,6.16,2,3.08,2.9568
53,CA-2015-115742,DP-13000,Standard Class,2015-04-18,2015-04-22,987 days,Spring,2015,4,5,"(40.2672, -86.1349)",Indiana,New Albany,Consumer,Chairs,FUR-CH-10003061,"Global Leather Task Chair, Black",0.0,89.99,1,89.99,17.0981
58,CA-2016-111682,TB-21055,First Class,2016-06-17,2016-06-18,561 days,Summer,2016,6,4,"(40.7128, -74.006)",New York,Troy,Consumer,Chairs,FUR-CH-10003968,Novimex Turbo Task Chair,0.1,319.41,5,63.882000000000005,7.098
66,CA-2015-135545,KM-16720,Standard Class,2015-11-24,2015-11-30,767 days,Fall,2015,11,1,"(36.7783, -119.4179)",Ohio,Los Angeles,Consumer,Furnishings,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,0.0,79.76,4,19.94,22.3328
67,US-2015-164175,PS-18970,Standard Class,2015-05-02,2015-05-05,973 days,Spring,2015,5,5,"(40.6331, -89.3985)",Texas,Chicago,Home Office,Chairs,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",0.3,213.115,14,15.2225,-15.2225
73,US-2015-134026,JE-15745,Standard Class,2015-05-02,2015-05-02,973 days,Spring,2015,5,5,"(35.5175, -86.5804)",Tennessee,Memphis,Consumer,Chairs,FUR-CH-10000513,High-Back Leather Manager's Chair,0.2,831.936,8,103.992,-114.3912
74,US-2015-134026,JE-15745,Standard Class,2015-04-26,2015-05-02,979 days,Spring,2015,4,6,"(35.5175, -86.5804)",Florida,Memphis,Consumer,Furnishings,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",0.2,97.04,2,48.52,1.213
79,US-2014-147606,JE-15745,Second Class,2014-11-29,2014-12-01,1127 days,Fall,2014,11,5,"(31.9686, -99.9018)",Texas,Houston,Consumer,Furnishings,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",0.6,19.3,5,3.8600000000000003,-14.475
86,CA-2017-140088,PO-18865,Second Class,2017-06-03,2017-05-30,210 days,Summer,2017,6,5,"(33.8361, -81.1637)",South Carolina,Columbia,Consumer,Chairs,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,0.0,301.96,2,150.98,33.2156
97,CA-2017-161018,PN-18775,Second Class,2017-11-09,2017-11-11,51 days,Fall,2017,11,3,"(40.7128, -74.006)",New York,New York City,Home Office,Furnishings,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,0.0,96.53,7,13.790000000000001,40.5426
140,CA-2016-145583,LC-16885,Standard Class,2016-10-13,2016-10-19,443 days,Fall,2016,10,3,"(36.7783, -119.4179)",California,Roseville,Consumer,Furnishings,FUR-FU-10001706,Longer-Life Soft White Bulbs,0.0,43.12,14,3.0799999999999996,20.6976
